customer_id,first_name,last_name,email,country,age,signup_date,is_premium,total_orders,lifetime_value,avg_order_value,days_since_last_order,return_rate,successful_payments,support_tickets,page_views_30d,add_to_cart_30d,checkout_events_30d,checkout_rate,churn_label,event_timestamp
1,Alice,Nguyen,alice@example.com,Pakistan,28,2021-03-14,True,3,213.96,71.32000000000001,759,0.0,3,0,1,1,1,1.0,1,2026-03-15 19:28:23.180000+00:00
8,Hamza,Qureshi,hamza@example.com,Pakistan,31,2022-09-17,False,1,49.99,49.99,783,0.0,1,1,0,0,1,0.0,1,2026-03-15 19:28:23.180000+00:00
9,Irene,Johansson,irene@example.com,Sweden,36,2021-12-01,True,1,59.99,59.99,780,0.0,1,0,1,0,1,0.0,1,2026-03-15 19:28:23.180000+00:00
10,Jasim,Al-Farsi,jasim@example.com,UAE,48,2020-03-28,False,1,149.99,149.99,773,0.0,1,0,0,0,0,0.0,1,2026-03-15 19:28:23.180000+00:00
11,Kiran,Patel,kiran@example.com,India,27,2023-05-14,False,1,0.0,0.0,771,1.0,0,1,0,0,0,0.0,1,2026-03-15 19:28:23.180000+00:00
12,Layla,Hussain,layla@example.com,Pakistan,33,2021-06-07,True,1,89.98,89.98,769,0.0,1,0,0,0,0,0.0,1,2026-03-15 19:28:23.180000+00:00
13,Marcus,Brown,marcus@example.com,USA,55,2019-08-15,True,1,249.97,249.97,766,0.0,1,1,1,0,1,0.0,1,2026-03-15 19:28:23.180000+00:00
14,Nadia,Siddiqui,nadia@example.com,Pakistan,30,2022-04-22,False,1,22.99,22.99,764,0.0,1,1,0,0,0,0.0,1,2026-03-15 19:28:23.180000+00:00
15,Omar,Ibrahim,omar@example.com,Egypt,41,2020-10-09,True,1,174.98,174.98,762,0.0,1,1,0,0,0,0.0,1,2026-03-15 19:28:23.180000+00:00
2,Bob,Khan,bob@example.com,Pakistan,45,2020-07-22,False,1,39.99,39.99,800,0.0,1,0,1,0,1,0.0,1,2026-03-15 19:28:23.180000+00:00
3,Carol,Smith,carol@example.com,UAE,34,2022-01-05,True,2,49.99,49.99,756,0.5,1,1,1,0,1,0.0,1,2026-03-15 19:28:23.180000+00:00
4,David,Ahmed,david@example.com,Pakistan,52,2019-11-30,False,1,84.98,84.98,795,0.0,1,0,1,0,1,0.0,1,2026-03-15 19:28:23.180000+00:00
5,Eva,Malik,eva@example.com,UK,29,2021-08-19,True,2,319.96,159.98,754,0.0,2,0,1,0,1,0.0,1,2026-03-15 19:28:23.180000+00:00
6,Frank,Hassan,frank@example.com,Pakistan,23,2023-02-11,False,1,0.0,0.0,787,0.0,0,1,1,1,0,0.0,1,2026-03-15 19:28:23.180000+00:00
7,Grace,Chen,grace@example.com,USA,40,2020-05-03,True,2,164.96,82.48,752,0.0,2,0,1,0,1,0.0,1,2026-03-15 19:28:23.180000+00:00
